,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
10,Switzerland,43.6,71.6,60.0,62.3,52.4,29.0,29.3,49.2,39.5,78.5,55.3,47.1,43.0,12.7,19.7,61.7,50.9,12.6,21.8,47.8,41.3,75.5,55.9,63.7,54.8,29.2,28.4,21.5,16.6,19.6,24.9,14.0,10.8,32.3,20.0,34.6,22.8,2.3,5.4,22.7,22.8,0.0,0.0,5.9,2.6,16.4,23.9,43.8,40.7,64.6,47.0,41.2,29.9,31.2,21.9,41.7,30.3,59.9,40.6,51.8
11,Ireland,42.4,59.4,60.8,63.3,54.4,34.0,31.3,57.9,44.0,73.5,56.2,60.6,53.9,15.5,30.6,57.3,52.6,15.9,24.4,57.3,46.7,67.0,54.7,61.4,57.9,29.2,26.3,22.3,18.4,16.7,18.6,25.0,11.7,33.1,20.4,3.6,1.8,3.6,6.0,26.2,24.0,0.0,0.0,7.3,3.0,21.0,23.7,42.6,37.5,55.6,37.9,33.6,27.3,24.9,18.1,38.7,29.1,55.9,39.1,54.5
12,Lithuania,43.4,78.5,70.0,60.1,47.4,35.0,34.0,51.2,42.6,79.9,54.5,56.9,51.0,17.1,26.1,64.5,49.6,10.5,22.7,50.3,42.5,81.3,58.8,68.3,56.8,42.0,36.6,31.2,21.4,30.8,3.5,28.4,11.5,40.1,16.9,2.4,0.4,5.3,8.8,27.6,24.3,0.0,0.0,17.0,5.0,14.5,25.7,45.8,38.5,70.0,51.4,43.8,29.1,38.4,23.4,42.7,31.9,66.9,46.2,54.3
13,Rwanda,43.7,81.7,68.9,62.3,52.2,26.2,26.7,54.8,44.8,73.9,54.1,57.4,52.8,16.5,23.3,63.3,52.5,13.7,23.5,56.9,49.1,70.6,54.5,61.3,53.5,45.4,35.3,36.0,23.7,26.8,24.6,36.1,26.2,39.4,21.9,10.0,2.7,2.9,8.0,20.2,22.5,0.0,0.0,8.2,6.0,23.5,26.4,43.9,39.4,70.2,51.4,51.2,34.0,34.2,21.4,49.3,34.2,64.7,43.1,57.3
14,Namibia,6.1,84.6,75.2,72.7,56.8,46.3,38.1,57.1,45.4,82.0,58.8,69.6,60.1,16.9,48.7,72.6,55.8,18.2,33.7,62.1,47.9,78.4,58.1,69.1,62.3,47.6,45.5,44.0,32.9,38.4,18.5,36.2,17.9,49.6,36.5,0.2,0.1,8.3,16.4,44.6,40.8,5.6,0.0,19.3,5.5,40.2,36.5,40.5,17.8,72.1,55.9,59.3,44.1,40.4,30.8,51.7,40.6,71.9,51.6,16.1
15,Sweden,42.1,74.6,59.2,53.7,40.8,30.2,24.7,45.5,37.4,74.1,44.6,38.5,36.4,14.2,35.7,56.3,46.7,13.4,23.5,46.0,42.0,73.6,50.4,56.0,47.9,35.0,28.4,22.6,16.9,23.6,15.0,25.4,18.3,30.3,17.1,3.4,1.5,3.8,7.0,28.3,20.8,0.0,0.0,17.5,4.4,20.8,21.5,40.5,35.4,63.1,46.1,35.8,24.1,30.1,19.2,38.6,29.1,56.7,37.7,46.9
16,New Zealand,14.9,63.2,57.9,55.2,46.8,27.8,28.7,50.0,40.2,62.6,48.0,55.2,50.3,14.7,35.8,51.5,46.6,12.5,24.7,49.3,41.4,61.3,46.1,60.5,50.7,27.0,23.4,25.7,21.3,19.6,7.2,21.8,9.8,36.7,19.5,0.3,0.2,3.7,6.1,25.8,26.5,0.0,0.0,12.6,3.6,27.3,18.2,45.0,26.9,49.0,34.6,28.5,23.3,22.5,18.7,32.0,27.0,48.9,36.6,44.9
17,Norway,49.0,76.9,64.6,66.3,49.7,38.6,33.3,56.3,42.6,81.0,51.8,53.5,45.6,18.4,35.2,66.0,51.5,15.9,27.8,54.9,46.5,79.3,56.4,65.2,56.6,40.0,35.2,28.5,23.8,28.0,22.6,24.9,12.3,41.1,26.1,17.7,4.0,4.5,7.2,35.3,25.7,0.0,0.0,14.2,3.7,30.2,27.7,48.1,42.1,68.0,53.9,50.7,33.6,35.7,25.8,46.6,34.8,67.9,47.3,59.5
18,Finland,36.6,80.0,66.3,58.1,43.2,39.8,31.5,45.2,38.1,75.8,46.5,44.2,41.6,14.8,43.6,62.2,46.1,27.0,38.1,47.3,38.9,78.2,50.1,65.1,52.7,40.2,38.8,31.0,20.9,34.0,4.0,26.2,12.6,39.3,24.7,0.8,0.7,5.8,9.6,32.9,25.6,0.0,0.0,17.2,4.3,19.6,23.8,47.6,35.8,72.1,57.2,46.5,32.4,41.3,29.1,46.0,34.7,64.6,47.0,57.1
19,Iceland,41.1,57.9,54.8,52.7,38.7,19.0,28.0,47.0,37.8,73.4,48.0,46.7,42.7,19.4,25.6,42.0,38.1,14.3,23.6,41.6,38.8,70.7,50.6,47.9,51.5,25.8,24.6,21.1,15.3,22.7,23.3,16.7,7.9,34.5,22.2,2.0,1.3,2.3,6.0,15.6,20.6,0.0,0.0,5.8,3.2,22.5,27.1,43.9,37.6,61.4,43.7,38.4,25.7,28.9,21.8,41.6,31.6,63.7,42.3,53.7
