,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
10,Switzerland,45.5,34.5,23.7,31.3,24.6,4.9,0.0,28.1,22.6,26.9,34.0,45.3,42.6,39.2,29.9,43.6,32.9,38.1,16.4,33.6,25.3,33.6,31.9,48.2,36.0,39.1,27.0,28.5,26.7,22.4,4.4,20.6,9.9,25.0,21.8,38.9,33.5,23.1,16.7,27.1,15.3,0.0,0.0,8.3,3.3,12.3,21.7,11.4,21.7,44.4,26.9,31.4,33.5,16.8,5.5,34.5,15.9,30.0,32.5,51.9
11,Ireland,32.1,27.5,20.2,26.1,17.6,6.4,0.0,21.6,17.2,22.7,24.3,32.2,32.9,35.8,27.7,42.1,27.9,42.4,7.8,31.5,20.6,27.1,23.9,39.5,30.4,38.8,18.5,27.5,17.2,23.2,0.0,19.5,7.0,19.2,12.7,26.9,21.4,23.2,12.3,22.1,13.4,0.0,0.0,6.6,3.3,6.3,16.2,7.6,12.6,38.1,17.1,25.9,21.1,16.2,0.0,29.4,10.5,25.4,21.1,38.2
12,Lithuania,44.9,36.1,27.7,36.3,33.3,3.9,3.3,29.9,26.1,31.6,42.7,44.3,51.6,50.8,35.3,52.9,45.2,36.0,17.8,41.7,29.6,38.0,42.7,47.1,41.2,38.8,25.1,31.7,26.6,16.2,6.0,18.8,9.1,24.5,22.9,34.1,30.7,16.9,13.9,23.0,16.1,0.0,0.0,5.7,3.1,8.2,21.8,7.3,20.0,46.2,25.6,34.7,33.0,17.0,7.1,37.7,15.4,27.0,34.5,48.9
13,Rwanda,50.0,35.0,33.4,31.1,36.8,7.1,0.0,28.3,28.3,26.2,43.2,38.3,49.4,47.7,37.7,43.8,46.2,41.8,17.4,32.2,28.5,35.6,46.7,42.0,41.3,41.4,27.4,33.9,34.2,29.0,8.7,20.3,10.4,32.2,33.6,39.4,39.0,16.9,13.8,28.1,23.0,0.0,0.0,6.7,2.8,12.2,28.6,10.6,22.9,48.3,27.8,35.8,36.1,26.8,9.6,38.5,18.9,34.3,39.2,53.2
14,Namibia,41.7,29.6,28.0,27.5,28.7,5.5,0.0,24.4,23.8,27.4,34.4,41.6,42.5,40.3,28.4,41.0,33.8,39.1,12.2,26.8,23.1,35.5,36.8,38.7,30.8,37.3,24.3,30.2,27.6,24.7,4.2,19.6,10.1,30.2,27.0,32.5,28.0,16.2,12.2,17.4,16.2,0.0,0.0,6.3,3.1,9.3,22.3,6.1,16.3,42.7,22.5,28.7,25.1,21.6,6.3,33.1,14.2,33.8,28.8,46.7
15,Sweden,36.4,34.1,26.1,33.7,28.0,4.8,0.0,26.5,22.9,24.6,34.2,41.4,41.9,42.2,28.1,50.5,34.2,37.6,15.3,35.2,22.8,31.2,30.1,46.3,34.1,39.8,22.7,31.4,20.2,19.5,4.4,17.9,8.8,23.0,18.4,35.7,27.9,20.1,12.0,23.5,12.3,0.0,0.0,5.6,2.6,9.0,18.6,8.8,18.5,43.1,23.4,29.9,27.1,16.4,4.5,32.9,13.2,21.5,27.0,44.5
16,New Zealand,31.5,25.4,22.8,24.2,21.0,5.1,0.0,18.4,19.7,26.9,29.9,32.9,34.2,36.2,31.8,43.1,29.3,39.6,14.4,26.8,21.5,33.5,29.5,42.3,36.5,32.5,21.7,23.7,18.5,25.6,2.0,16.3,9.0,22.6,17.1,29.6,30.3,18.2,13.7,21.3,12.1,0.0,0.0,4.9,3.2,7.8,19.6,6.6,16.2,31.8,20.3,19.6,20.4,22.1,4.7,24.7,12.4,24.5,23.0,32.4
17,Norway,34.3,32.5,26.3,32.2,26.9,5.4,0.0,25.4,21.7,30.3,29.4,43.8,38.2,44.1,28.8,48.7,33.3,40.6,18.0,34.0,21.5,33.1,25.2,45.6,28.1,40.4,22.9,34.4,19.4,28.3,6.7,22.1,9.7,25.1,12.4,36.2,21.5,22.8,13.6,24.1,13.8,0.0,0.0,7.4,3.3,11.9,18.4,10.4,16.8,42.0,22.9,29.0,25.4,24.1,5.7,33.8,13.5,29.1,23.6,46.3
18,Finland,38.5,32.9,24.6,32.6,27.6,5.7,0.0,26.8,23.1,28.3,37.8,43.2,42.2,47.2,27.9,49.0,35.1,41.9,16.6,37.2,24.7,35.3,36.7,49.2,35.9,42.9,26.2,30.1,26.9,22.8,4.8,20.1,11.0,26.1,22.6,39.5,30.7,23.0,14.2,27.9,16.5,0.0,0.0,8.6,3.8,11.7,22.1,11.9,20.2,43.8,24.2,31.5,30.4,20.5,5.9,35.3,12.8,29.7,30.5,50.3
19,Iceland,37.8,32.5,24.7,30.4,24.2,5.9,0.0,25.5,21.3,26.4,27.2,42.3,38.6,32.1,30.4,40.4,32.0,40.5,12.0,32.0,22.8,25.5,25.4,39.8,29.3,29.5,21.1,26.8,20.8,31.4,4.6,15.7,8.1,19.2,15.7,28.4,24.0,21.9,11.7,23.4,13.9,0.0,0.0,7.7,2.4,8.6,18.7,7.3,16.1,40.6,19.4,26.8,22.0,27.7,5.7,32.7,11.4,26.0,25.5,45.0
