,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
10,Switzerland,35.5,36.6,46.4,42.8,46.8,10.5,8.1,33.4,38.1,49.8,49.2,47.6,50.5,25.2,37.6,37.4,50.6,14.4,13.5,32.1,41.0,35.6,50.8,37.6,53.9,3.1,17.7,11.5,25.9,7.1,0.0,6.6,10.3,17.8,26.9,30.9,37.8,15.6,17.7,26.2,32.5,3.5,12.5,10.9,14.3,24.9,30.1,32.4,31.5,30.7,23.5,26.3,27.9,26.8,9.5,20.0,13.0,29.7,27.5,32.7
11,Ireland,36.1,36.6,40.5,41.3,36.5,10.2,5.3,32.3,30.5,47.2,39.4,44.2,42.7,28.7,38.0,39.9,39.5,16.9,8.1,34.7,33.8,42.2,41.1,39.1,45.8,4.3,9.9,14.7,23.1,4.0,0.0,7.3,6.8,19.7,22.8,31.9,37.7,17.4,15.6,29.5,30.1,2.4,10.7,10.3,10.9,29.9,31.1,36.3,32.9,32.8,22.6,25.7,27.1,28.5,7.1,20.5,13.1,27.2,24.1,32.0
12,Lithuania,37.0,27.2,36.2,34.5,38.6,11.5,4.5,28.1,31.1,39.7,40.4,41.6,43.6,15.2,25.8,29.0,39.9,14.6,8.2,27.1,31.1,27.8,42.8,31.8,44.6,3.0,10.5,10.8,21.1,7.5,0.0,7.3,11.3,15.2,21.9,24.3,38.6,14.7,13.0,21.3,26.4,3.9,10.9,12.2,13.0,20.3,25.5,26.3,27.5,27.4,21.0,22.4,25.0,25.8,4.7,19.0,16.2,23.9,23.8,29.4
13,Rwanda,31.3,31.3,37.9,38.9,37.9,8.3,6.8,31.3,33.1,43.1,41.1,45.3,45.5,17.4,29.5,30.7,40.1,13.0,9.5,24.3,30.4,29.4,43.3,31.3,46.4,2.7,17.3,10.0,25.9,6.1,4.9,5.2,10.5,16.1,24.8,24.7,34.4,15.6,18.1,22.5,30.7,2.1,12.6,13.3,15.4,20.7,28.0,28.5,31.1,34.3,29.0,29.6,28.2,28.8,9.3,23.2,17.0,29.3,26.5,34.3
14,Namibia,34.2,29.8,39.6,41.0,38.8,8.7,7.4,30.4,34.5,46.3,39.3,45.2,43.9,20.9,29.5,37.1,39.3,15.2,12.2,31.9,34.4,38.5,41.0,37.9,43.7,2.8,14.3,13.5,21.7,4.1,4.6,6.4,10.4,20.0,20.9,26.0,28.8,15.1,17.1,25.6,30.4,0.0,10.3,11.2,13.4,23.0,25.8,30.9,30.6,26.4,23.9,25.5,25.8,25.5,10.2,17.4,15.5,25.3,23.0,29.9
15,Sweden,33.1,29.1,38.0,34.2,37.7,9.1,5.2,27.3,28.8,40.2,38.9,39.7,40.8,21.6,35.3,30.1,44.7,10.4,9.9,29.0,34.1,32.3,45.1,33.7,46.6,3.5,14.1,11.5,23.1,3.8,3.7,7.9,11.6,18.1,23.3,28.4,32.6,15.3,16.0,20.6,27.0,2.6,9.9,12.8,14.2,21.2,25.1,27.0,27.3,28.2,19.9,21.9,24.6,25.9,8.5,18.6,13.8,23.7,21.8,28.4
16,New Zealand,32.4,27.7,33.5,36.2,31.9,10.1,6.9,27.3,27.7,41.7,34.2,40.3,37.9,22.6,33.4,35.0,35.8,14.4,9.8,30.5,29.3,36.1,36.8,33.4,39.8,2.6,11.3,10.4,20.0,5.4,3.5,6.4,9.4,16.2,19.2,26.8,25.8,17.6,14.8,27.1,26.7,0.0,11.5,12.3,10.8,24.8,23.6,28.5,26.2,28.8,23.9,23.7,25.2,25.9,9.5,18.6,14.7,24.5,23.2,28.5
17,Norway,36.3,33.7,44.3,39.6,42.5,10.6,5.8,33.0,34.7,46.3,44.3,45.0,45.8,22.5,35.4,33.7,47.9,14.2,9.3,33.2,38.2,35.2,49.1,37.0,50.5,2.9,17.3,12.6,24.9,7.2,0.0,6.9,11.5,19.3,25.9,29.5,36.3,14.2,15.0,22.2,27.2,3.0,10.6,13.3,13.5,23.3,25.4,30.4,29.2,29.8,24.6,25.1,26.7,29.1,11.4,21.1,15.8,27.9,25.4,31.0
18,Finland,32.9,26.3,37.0,32.8,37.9,11.6,5.8,26.7,30.6,38.3,38.9,38.7,40.5,19.2,32.8,29.1,44.3,14.6,8.4,29.1,34.0,28.5,43.7,30.8,43.9,2.3,6.9,9.4,21.4,4.5,0.0,5.8,7.1,14.2,20.2,22.3,27.6,12.3,10.1,19.4,24.7,3.9,9.8,9.9,9.0,17.4,20.0,23.0,22.5,26.3,17.8,21.7,24.6,23.3,6.0,17.7,12.2,22.0,20.1,26.6
19,Iceland,31.9,32.7,38.4,34.9,34.5,9.8,6.4,29.4,29.8,40.9,37.8,40.7,40.8,21.6,31.2,27.2,40.3,12.4,8.1,29.5,33.0,29.1,42.4,28.7,44.5,1.8,15.0,7.8,22.8,5.8,0.0,4.2,9.4,12.9,24.0,16.1,31.1,13.0,13.0,19.2,26.3,4.0,10.9,9.5,10.5,20.3,22.6,23.4,24.9,28.5,21.9,22.4,22.9,25.0,7.3,19.6,13.0,24.4,22.2,28.1
