,date,"In DATE, she becomes an adult.",she became a kid in DATE.,"In DATE, she became a kid.",she became a teenager in DATE.,"In DATE, she became a teenager.",she became all grown up in DATE.,"In DATE, she became all grown up.",she became a child in DATE.,"In DATE, she became a child.",she became an adolescent in DATE.,"In DATE, she became an adolescent.",she became an adult in DATE.,"In DATE, she became an adult.",she was a kid in DATE.,"In DATE, she was a kid.",she was a teenager in DATE.,"In DATE, she was a teenager.",she was all grown up in DATE.,"In DATE, she was all grown up.",she was a child in DATE.,"In DATE, she was a child.",she was an adolescent in DATE.,"In DATE, she was an adolescent.",she was an adult in DATE.,"In DATE, she was an adult.",she is a kid in DATE.,"In DATE, she is a kid.",she is a teenager in DATE.,"In DATE, she is a teenager.",she is all grown up in DATE.,"In DATE, she is all grown up.",she is a child in DATE.,"In DATE, she is a child.",she is an adolescent in DATE.,"In DATE, she is an adolescent.",she is an adult in DATE.,"In DATE, she is an adult.",she will be a kid in DATE.,"In DATE, she will be a kid.",she will be a teenager in DATE.,"In DATE, she will be a teenager.",she will be all grown up in DATE.,"In DATE, she will be all grown up.",she will be a child in DATE.,"In DATE, she will be a child.",she will be an adolescent in DATE.,"In DATE, she will be an adolescent.",she will be an adult in DATE.,"In DATE, she will be an adult.",she becomes a kid in DATE.,"In DATE, she becomes a kid.",she becomes a teenager in DATE.,"In DATE, she becomes a teenager.",she becomes all grown up in DATE.,"In DATE, she becomes all grown up.",she becomes a child in DATE.,"In DATE, she becomes a child.",she becomes an adolescent in DATE.,"In DATE, she becomes an adolescent.",she becomes an adult in DATE.
10,1869,52.7,71.7,70.1,74.0,59.5,39.5,35.9,46.7,36.8,82.1,67.3,76.8,61.5,60.5,61.5,66.9,53.9,27.8,33.5,32.4,25.6,76.6,59.0,70.4,53.5,26.2,24.7,26.1,24.3,25.1,18.1,4.3,9.4,50.0,23.7,0.1,21.3,10.7,19.4,53.5,46.4,6.9,18.9,3.2,2.5,21.1,45.4,61.0,55.1,62.3,48.9,55.1,40.5,27.9,25.2,44.5,32.2,74.0,49.1,64.8
11,1876,51.7,71.3,72.0,72.7,61.3,39.0,36.5,46.4,37.1,80.0,67.1,76.4,60.6,55.2,64.1,67.4,55.4,23.9,35.6,35.4,28.0,75.4,59.0,70.3,52.5,21.6,23.6,29.0,24.5,26.5,19.0,5.8,10.0,50.2,25.3,0.1,12.9,9.3,18.9,50.5,44.3,6.8,18.2,2.3,2.4,24.5,43.8,59.1,54.4,62.3,53.3,58.0,42.8,27.4,27.8,45.4,33.0,73.9,51.2,56.6
12,1883,47.4,72.3,69.9,73.2,57.9,36.7,33.3,43.7,35.4,81.2,64.0,72.6,57.9,52.2,59.3,67.8,53.0,24.3,31.7,31.3,27.4,77.2,57.3,69.2,50.6,25.1,24.6,27.5,22.4,22.9,17.3,5.4,9.8,51.6,22.1,0.1,24.5,7.3,16.9,50.5,42.2,6.0,15.9,2.0,2.1,20.0,41.6,58.0,52.3,66.1,51.0,54.4,38.1,25.3,24.5,45.9,30.0,73.3,46.9,59.9
13,1890,46.8,70.9,67.6,68.7,54.3,38.4,33.3,47.9,35.9,77.1,60.7,72.3,57.2,45.8,54.9,63.5,49.2,22.3,32.1,34.7,26.1,71.5,53.0,67.7,51.0,26.2,24.4,28.9,21.0,25.9,17.3,6.9,9.2,51.2,22.7,0.1,12.6,8.3,14.8,46.4,36.1,6.4,13.7,3.0,2.9,16.3,37.0,56.8,51.9,65.4,48.4,51.8,36.2,26.2,23.5,47.9,30.1,69.7,46.2,56.0
14,1897,44.4,73.0,66.3,71.5,53.0,36.3,32.7,45.6,35.9,78.7,58.6,70.4,54.3,44.9,51.9,67.1,47.4,19.9,31.8,28.9,23.8,74.2,51.0,70.0,48.4,29.7,21.3,30.9,20.2,24.1,17.8,5.6,10.4,52.9,19.9,1.1,36.0,9.1,15.8,52.7,38.7,6.6,15.6,3.0,2.3,37.7,42.0,57.5,49.9,63.4,45.7,55.9,34.2,25.7,22.3,46.3,29.6,71.7,44.9,65.6
15,1904,44.1,69.4,64.7,68.9,51.9,36.3,30.3,47.4,34.6,77.3,59.1,72.0,52.4,49.9,53.3,65.2,46.8,20.7,30.7,33.6,25.8,72.9,53.4,69.2,46.7,18.0,21.2,27.4,21.1,21.7,15.9,7.1,10.9,48.3,21.0,0.5,35.7,7.6,11.4,49.0,32.6,5.5,12.1,2.7,2.1,24.2,35.3,54.8,46.9,61.9,45.6,55.1,33.2,24.2,22.1,47.6,28.2,70.3,44.3,61.1
16,1911,45.5,66.4,61.5,64.2,48.5,33.3,32.8,42.7,34.2,75.1,55.4,66.8,52.8,46.3,48.9,59.8,42.5,23.1,31.0,28.8,25.2,69.4,48.8,67.0,46.5,22.4,16.6,26.7,18.2,21.2,15.6,6.6,11.1,48.5,19.9,1.8,37.5,10.0,8.4,42.4,29.3,6.2,14.2,3.5,2.0,32.2,35.9,52.4,48.5,59.0,42.0,53.3,31.6,25.1,22.4,40.5,28.4,67.9,43.9,61.0
17,1918,47.4,65.2,63.0,66.9,52.9,35.1,34.7,46.6,38.3,75.6,60.2,67.5,55.0,49.3,51.9,61.3,45.8,27.6,33.5,34.0,27.1,70.0,52.7,69.7,48.4,25.4,16.1,27.1,16.8,23.4,15.3,9.6,11.6,47.5,21.2,1.8,37.5,7.2,9.1,45.0,28.7,3.6,9.0,5.0,3.2,34.7,37.2,56.7,50.7,55.7,46.8,55.8,33.8,27.6,25.5,44.2,31.6,69.1,47.8,63.9
18,1925,47.7,69.2,66.8,64.0,51.2,33.5,32.7,42.2,36.5,75.2,58.7,65.3,53.5,48.9,56.3,60.8,45.2,25.9,33.4,36.1,28.7,73.2,53.1,67.1,48.3,14.6,17.9,30.9,20.0,22.3,16.8,8.4,15.2,51.5,25.0,19.0,44.2,12.9,12.4,51.3,36.8,9.7,18.3,6.4,3.5,39.9,46.1,56.7,53.1,61.1,51.4,53.4,38.6,28.0,26.0,44.7,34.1,68.7,50.8,61.8
19,1932,46.4,67.3,63.7,64.5,52.4,32.2,32.5,42.6,38.2,76.0,60.7,67.4,55.5,41.1,49.1,61.0,47.1,26.6,31.4,35.6,28.8,73.2,56.5,68.5,50.9,9.8,13.1,28.6,17.0,21.6,16.8,13.1,13.8,51.2,24.3,16.8,43.5,3.9,3.9,43.7,28.7,8.5,14.4,3.6,2.0,35.6,38.5,52.5,50.4,57.6,47.5,50.9,34.5,26.0,23.5,41.8,32.3,66.5,48.7,60.2
20,1938,46.4,63.7,61.5,60.6,49.7,34.0,33.6,43.3,37.4,74.9,58.8,65.5,54.0,42.4,49.2,56.9,43.5,29.1,32.4,32.2,27.4,71.1,53.2,66.2,47.8,14.3,13.9,28.0,16.8,22.3,15.6,9.9,14.7,50.7,23.0,36.1,42.4,4.8,5.2,44.5,30.1,6.9,13.6,3.6,2.5,35.6,38.8,53.2,51.6,54.6,44.9,54.3,35.3,27.4,23.3,44.1,32.8,70.1,48.8,60.2
21,1945,47.5,68.9,66.2,66.0,54.7,32.4,35.2,44.3,38.4,79.1,64.0,66.6,56.0,54.4,54.0,62.4,47.0,30.7,34.5,28.9,22.6,77.0,58.3,68.0,50.4,23.5,22.1,33.2,20.6,25.5,17.6,8.1,12.2,54.6,30.2,45.2,44.4,7.2,8.5,53.0,31.8,4.7,10.2,5.5,2.4,42.6,39.7,58.9,52.6,61.6,50.5,58.6,37.1,28.5,25.9,46.1,32.6,72.5,50.2,63.2
22,1952,49.0,70.6,68.1,63.8,54.2,36.1,34.2,48.2,39.8,78.9,63.4,68.7,56.2,46.8,54.9,61.5,48.5,32.7,33.1,28.5,28.4,76.9,59.0,71.7,52.2,19.2,24.0,33.0,24.7,27.7,19.8,12.0,17.3,60.9,37.0,11.6,47.3,6.1,5.0,52.3,34.0,11.0,14.7,3.5,2.5,42.6,45.5,56.7,54.3,62.1,52.7,56.2,39.6,30.2,26.8,48.9,36.6,72.0,53.6,61.4
23,1959,49.5,69.1,66.5,64.0,54.1,34.2,35.3,44.7,40.0,79.1,61.3,65.9,54.7,39.6,50.9,60.4,47.9,24.7,35.1,24.6,26.9,77.1,56.9,69.8,51.5,17.6,21.0,35.7,23.8,26.9,18.9,9.3,16.6,60.7,33.4,49.7,47.7,6.4,5.0,49.2,37.1,7.7,16.2,3.3,2.4,43.3,45.6,57.0,55.6,61.0,51.9,55.1,39.7,28.2,25.8,45.3,36.6,72.7,53.6,62.5
24,1966,44.1,63.8,60.3,56.6,48.2,33.5,31.2,41.2,37.4,71.5,53.0,60.4,50.9,42.8,46.2,56.8,43.6,30.6,32.2,26.0,27.1,70.7,49.0,65.3,48.3,11.6,14.5,32.1,20.0,23.6,16.6,8.0,16.1,53.1,25.6,54.0,41.0,2.7,0.0,44.8,31.8,13.6,15.0,3.5,2.2,44.3,38.9,53.5,51.3,53.9,44.8,50.3,35.2,27.3,22.0,42.6,33.7,64.1,47.0,56.5
25,1973,45.1,66.2,61.2,56.6,48.5,35.1,33.0,41.3,37.6,72.1,53.2,61.4,52.1,45.0,49.5,55.7,43.9,28.4,32.5,23.2,26.1,69.9,48.9,64.3,48.7,20.9,19.6,35.4,24.6,24.3,18.2,9.5,17.0,56.2,26.4,55.9,41.0,4.2,3.3,47.3,35.2,14.6,18.2,3.9,1.9,49.7,41.3,54.1,53.7,59.3,45.2,50.8,37.1,28.3,22.8,42.3,35.6,64.1,45.5,57.1
26,1980,44.9,67.1,60.9,57.1,49.0,33.4,30.7,44.1,38.7,71.6,53.7,62.8,51.1,44.2,44.6,56.6,43.8,26.2,32.2,27.8,25.4,71.9,49.9,64.7,48.6,20.1,20.3,36.0,24.5,26.3,19.0,12.4,18.9,58.2,29.6,56.7,42.0,4.5,3.6,48.1,36.1,15.6,18.3,4.1,2.4,48.8,41.1,53.4,53.3,60.8,46.6,53.7,36.4,29.7,23.8,46.9,35.5,67.0,46.1,57.2
27,1987,43.7,65.4,57.1,54.6,43.4,30.2,27.2,38.1,35.9,71.2,48.7,58.3,47.1,41.2,44.6,52.8,38.6,24.5,30.5,19.1,21.9,69.3,45.3,61.4,46.6,23.2,20.2,36.5,23.0,23.8,18.1,6.9,16.2,58.3,28.1,56.8,40.9,3.9,2.8,47.5,35.6,15.9,18.3,3.0,2.0,47.7,39.0,53.6,52.3,61.5,45.6,52.1,35.5,27.1,22.1,43.3,35.7,64.4,44.0,56.5
28,1994,42.7,64.1,54.2,53.7,38.7,30.0,25.6,37.1,33.9,67.8,44.4,55.2,44.6,44.2,41.6,52.2,34.6,28.9,31.0,19.9,21.2,68.6,42.1,60.2,45.0,14.1,18.8,37.5,23.6,24.7,20.0,7.0,17.6,58.3,28.3,55.4,42.3,2.7,0.0,49.3,35.4,15.6,16.6,3.4,2.1,43.3,40.5,52.7,52.0,53.1,40.6,48.5,31.1,26.5,21.3,42.1,33.3,62.6,40.5,55.7
29,2001,38.0,63.2,48.3,49.5,33.5,28.2,24.3,34.2,31.8,60.7,37.2,48.3,39.3,48.1,40.4,49.7,30.7,32.0,29.0,17.4,19.4,64.6,37.1,55.1,42.5,21.3,21.8,36.4,21.4,26.8,20.5,6.3,17.4,56.1,28.1,53.2,40.6,5.7,3.6,44.8,31.2,18.0,17.7,4.8,0.0,47.1,38.3,48.1,47.0,56.5,36.6,44.4,25.2,26.7,19.3,40.7,30.9,58.3,34.5,50.7
