,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
10,Switzerland,35.7,10.2,26.5,30.6,40.4,23.1,35.3,41.2,47.6,17.1,38.6,48.4,52.4,4.5,12.7,26.9,38.8,20.9,29.5,40.2,45.4,17.0,35.4,26.4,38.2,17.7,23.4,42.8,43.2,35.3,27.4,20.1,17.2,47.1,53.0,41.3,39.4,0.0,0.0,41.4,60.5,5.4,3.2,7.3,3.1,17.7,34.0,41.0,38.9,7.1,13.4,27.4,39.4,21.1,22.1,30.2,34.7,22.9,36.2,33.0
11,Ireland,31.8,7.8,20.4,21.5,32.0,20.8,34.2,24.3,36.0,14.8,31.7,31.5,38.1,4.0,12.0,18.4,30.3,22.3,26.0,24.0,34.2,12.7,26.9,18.9,28.2,15.0,19.4,32.7,35.2,28.4,18.7,27.1,15.3,33.6,35.1,3.2,3.9,0.0,5.4,39.0,50.7,6.0,4.4,9.4,3.5,19.6,32.0,33.7,33.6,6.3,11.6,19.9,30.6,15.7,17.2,22.3,27.0,15.0,25.2,26.7
12,Lithuania,32.7,6.5,22.0,34.7,48.0,21.3,37.0,38.3,45.6,15.7,40.5,37.5,44.0,4.8,14.4,25.1,43.5,13.7,23.5,39.0,46.7,10.5,33.0,18.2,33.7,18.8,25.9,50.0,56.7,36.2,2.6,45.3,20.4,40.6,38.0,4.2,1.0,0.0,5.4,41.5,63.9,3.1,0.0,29.3,5.8,14.5,35.4,37.6,33.2,8.0,16.5,33.4,47.3,22.2,22.5,32.8,34.8,19.0,33.7,29.3
13,Rwanda,35.1,7.1,21.5,31.9,41.3,16.7,32.5,37.7,46.1,21.6,39.6,38.7,43.0,4.4,9.1,25.4,38.6,16.5,26.6,34.9,44.3,20.8,36.8,29.9,41.2,17.9,24.7,41.0,47.0,35.4,19.2,44.8,38.0,38.6,48.7,7.6,5.1,0.0,0.0,30.7,58.8,2.6,0.0,13.1,6.5,28.2,40.8,33.5,35.6,6.6,16.2,26.7,41.9,19.5,21.4,29.6,34.1,17.9,33.9,30.6
14,Namibia,4.1,6.5,16.7,21.9,36.6,22.2,35.0,36.5,45.7,14.5,35.6,27.1,35.8,2.8,14.2,20.6,36.3,15.1,22.5,32.1,44.0,16.4,34.9,10.6,29.2,20.2,23.8,38.5,46.4,33.7,12.4,36.8,20.6,37.1,48.6,0.0,0.1,3.1,8.4,36.7,49.3,0.0,0.0,20.2,5.4,30.2,36.8,14.9,12.3,5.7,11.9,22.1,36.2,17.4,20.5,28.7,31.8,15.8,29.1,5.1
15,Sweden,38.7,9.6,29.4,38.4,52.6,30.8,45.6,43.0,48.6,19.9,48.7,54.7,57.7,4.4,19.9,31.6,44.9,19.2,28.2,43.3,46.2,16.6,40.0,31.9,43.4,24.4,28.5,48.1,50.6,37.7,17.4,46.4,32.3,47.3,55.7,8.1,6.1,0.0,7.7,55.1,64.7,7.1,0.0,24.4,5.4,25.9,38.8,46.8,41.5,8.3,16.1,34.2,48.5,24.4,22.9,33.5,36.7,24.4,38.4,34.9
16,New Zealand,17.0,9.1,22.4,27.1,36.1,20.4,34.7,32.4,37.0,23.9,35.5,35.2,39.1,4.2,18.8,23.1,32.3,20.4,26.1,31.4,36.7,18.6,30.7,22.4,33.2,18.2,22.3,37.4,40.4,30.9,8.2,26.1,11.8,38.6,38.2,0.3,0.5,0.0,5.6,44.9,52.5,3.2,0.0,14.7,3.4,30.7,26.2,35.3,25.6,8.0,14.2,22.8,33.6,16.8,18.2,26.4,29.3,18.8,25.4,23.1
17,Norway,35.7,8.7,28.7,28.6,46.5,26.2,42.6,34.1,44.6,14.8,43.9,41.7,50.8,4.8,16.8,25.9,43.5,19.6,30.5,31.8,39.9,13.7,37.8,22.1,37.0,17.4,27.2,46.3,55.1,38.7,20.6,26.5,14.5,42.7,55.6,17.6,8.2,0.0,5.9,48.2,63.3,5.3,0.0,15.8,3.6,29.6,39.5,38.6,36.0,7.1,16.1,28.2,48.7,22.2,25.8,29.5,36.6,17.5,35.7,28.3
18,Finland,32.0,9.0,26.0,36.9,52.2,28.6,42.2,46.3,50.0,20.7,49.1,51.5,53.9,2.9,16.6,31.0,47.8,20.7,29.0,43.9,48.1,15.8,43.4,24.4,39.8,22.9,31.1,54.5,60.4,38.9,3.1,41.5,20.5,46.4,51.9,1.2,2.3,3.3,7.6,49.7,64.6,8.8,0.0,23.7,4.9,19.6,34.0,37.5,36.1,8.1,17.7,33.5,50.8,24.7,28.3,35.4,39.1,23.3,39.4,33.8
19,Iceland,36.6,11.9,34.1,40.5,55.8,15.1,33.4,41.8,48.8,22.0,46.8,47.5,52.2,7.1,20.4,31.4,54.9,21.0,33.1,33.6,43.5,17.9,41.4,31.1,40.1,15.9,25.5,42.2,49.0,33.1,22.2,21.7,12.5,40.9,50.3,2.8,3.9,0.0,5.4,29.5,61.2,6.3,4.4,7.4,3.8,22.2,37.1,34.0,33.9,9.2,18.6,30.0,45.7,20.3,22.0,30.9,35.2,19.1,34.2,32.1
